id,aspect_ratio,diameter,height_ratio,sphericity,symmetry_concave,symmetry_hull,symmetry_total,thickness,unmachinable,volume_ratio,is_lathe
0010ADD,1.00000000,0.01137500,0.33516484,0.38620640,0.42840246,0.32375812,0.34862877,0.00265217,0.00000000,0.65040092,0
000FE4E,0.99937865,0.02455610,0.32467499,0.50541977,0.70614485,0.52615667,0.68549489,0.05261417,0.00000000,0.44559842,0
000FE4D,0.72003148,0.00781250,0.27174145,0.58272537,0.66404788,0.53706858,0.54380311,0.01999983,0.00000000,0.94990610,0
00104B1,0.99724961,0.03829085,0.69177625,0.40157219,0.02141697,0.00981096,0.01539275,0.01837624,1.00000000,0.44675474,1
00104F6,1.00000000,0.08855955,0.74102681,0.13624792,0.01365154,0.00569983,0.00391182,0.04565217,0.00000000,0.08272229,1
001043F,1.00000000,0.11277658,0.13098157,0.30808948,0.42571026,0.11454187,0.43172145,0.01027593,0.00000000,0.30517388,0
0010443,0.68965517,0.21407480,0.35000000,0.29930098,0.49765725,0.40611561,0.46247312,0.03594659,0.00000000,0.31117549,0
0010450,0.74347825,0.02968430,0.41795261,0.45064757,0.66876408,0.62666097,0.66208961,0.04940739,0.00000000,0.38440395,0
0010449,0.95968243,0.08024385,0.47117070,0.41016501,0.36086847,0.19261701,0.36982968,0.02524118,0.00000000,0.35120147,0
001044D,0.50884111,0.02901452,0.27082178,0.49073933,0.76622811,0.62336646,0.69442401,0.07452876,0.00000000,0.40433426,0
0011196,0.80294301,0.20639254,0.06257651,0.16582081,0.33424669,0.29622744,0.34024739,0.00721410,0.00000000,0.20449976,0
00104B2,0.99724715,0.03056939,0.79465181,0.41699630,0.02194963,0.01087292,0.01613258,0.01685228,1.00000000,0.47082473,1
0010448,0.50847289,0.07258834,0.49166501,0.37878590,0.55275059,0.50756556,0.50767156,0.10270455,0.00000000,0.41251799,0
0010E57,0.68548389,0.03051181,0.28181817,0.57528204,0.77519986,0.62103006,0.60470708,0.07531667,0.00000000,0.83184596,0
0010E56,0.80800000,0.30757874,0.78124903,0.54213935,0.62540439,0.44420812,0.51814805,0.27387915,0.00000000,0.66866009,0
000F16A,0.08863636,0.05500000,0.46808514,0.24226758,0.57885302,0.49252519,0.50029959,0.08173913,1.00000000,0.69005085,0
000F16D,0.77952757,0.15875000,0.39076589,0.11028464,0.56573049,0.46980864,0.49238712,0.28261111,0.00000000,0.11641734,0
000F16E,0.71653546,0.15875000,0.58241757,0.18359769,0.55253461,0.50150708,0.50308383,0.04608696,1.00000000,0.16538110,0
0010208,0.67104800,0.14888386,0.47387912,0.31759552,0.63338165,0.61716203,0.65302363,0.21856076,0.00000000,0.28256630,0
001072E,0.99292217,0.17601747,0.64174655,0.25474685,0.01657477,0.01209506,0.01274544,0.19080264,0.00000000,0.27407579,1
0010A81,0.83934880,1.11466535,0.00789006,0.07895335,0.28557555,0.28773706,0.28557555,0.00513523,0.00000000,0.83586875,0
